,,,,,,,,
Thursday,F-201,Evolutionary Computation (MCS-2A),,Natural Language Processing (BDS-6A),Parallel & Distributed Comp (BCS-6J),Design & Analysis of Algo (BCS-6B),Design & Analysis of Algo (BCS-6A),Practicum - I/II (MSP-4A)
Thursday,F-202,Advanced Analysis of Algorithms (MCS-1A),,Operating Systems (BSE-4A),Operating Systems (BSE-4B),Object Oriented Programming (BCS-2D),Artificial Intelligence (BCS-6C),Wireless Network Security (MCY-2A)
Thursday,F-203,Fund. of Computer Vision (BCS-8A),Database Systems (BCS-4J),Database Systems (BCS-4H),Compiler Construction (BCS-6B),Design & Analysis of Algo (BSE-6C),,
Thursday,F-204,Operating Systems (BCS-6A),Database Systems (BDS-4A),Object Oriented Programming (BCS-2G),Compiler Construction (BCS-6E),,,
Thursday,F-205,Modern Politics & Govt (BDS-8A),,Com. Org. & Assembly Lang. (BDS-4C),Adv Database Concepts (BSE-6A),Data Science (BCS-8C),Fund. of Big Data Analytics (BDS-6A),
Thursday,F-206,Digital Logic Design (BSE-2B),Software Testing (BCS-6A),Adv Database Concepts (BCS-6A),Software for Mobile Devices (BSE-8A),Adv Database Concepts (BCS-6B),Information Security (BSE-8A),
Thursday,F-207,Cyber Security (BCS-6C),Object Oriented Programming (BCS-2J),Information Security (BDS-8A),Database Systems (BCS-4E),Database Systems (BCS-4F),Game Development (BCS-8A),
Thursday,F-208,Fundamentals of Management (BDS-4B),,Funda. of Software Eng (BDS-4A),Game Design Development (BSE-6A),Funda. of Software Eng (BDS-4C),,Applied Physics (BCS-6A)
Thursday,F-209,Database Systems (BSE-4A),Database Systems (BSE-4B),Bioinformatics (BCS-8A),Generative AI (BCS-8A),Generative AI (BDS-8A),Generative AI (BDS-8B),
Thursday,F-210,,Mining Massive Datasets (BCS-6A),Software Testing (BCS-6B),Computer Networks (BDS-8A),Probability & Statistics (BSE-4A),Multivariable Calculus (BCS-2K),
Thursday,F-301,,Com. Org. & Assembly Lang. (BCS-4A),,Object Oriented Programming (BCS-2E),Adv Database Concepts (BSE-8A),Funda. of Software Eng (BDS-4B),
Thursday,F-302,Cyber Security (BCS-6A),Cyber Security (BCS-6B),Fund. of Computer Vision (BCS-8B),,Software for Mobile Devices (BCS-8A),,
Thursday,F-303,,Information Security (BCS-8A),,Intro to Internet of Things (BCS-8A),Information Security (BCS-8B),,
Thursday,F-304,Artificial Intelligence (BCS-6J),Artificial Intelligence (BCS-6K),Parallel & Distributed Comp (BCS-6D),Artificial Intelligence (BDS-6B),,,
Thursday,F-305,Web Programming (BCS-8A),Web Programming (BDS-8A),Natural Language Processing (BDS-6B),Theory of Automata (BCS-6B),Operations Research (BCS-8A),,
Thursday,F-306,Compiler Construction (BCS-6F),American History (BCS-8A),Software Engineering (BCS-6G),Software Engineering (BCS-6H),,,
Thursday,F-307,,Marketing Management (BDS-6A),Software Engineering (BCS-6C),,,,
Thursday,F-308,Entrepreneurship (BCS-8B),Cyber Security (BCS-6D),Operating Systems (BCS-4E),Operating Systems (BCS-4H),Operating Systems (BCS-4C),Operating Systems (BCS-4D),
Thursday,F-309,Computer Networks (BSE-6C),Computer Networks (BSE-6A),Computer Networks (BSE-6B),Database Systems (BCS-6A),,,
Thursday,F-310,Parallel & Distributed Comp (BCS-6C),,Digital Logic Design (BCS-2H),,,,
Thursday,F-311,Software Engineering (BCS-6B),Organization Behavior (BCS-4A),Web Engineering (BSE-6C),Advanced Statistics (BDS-4B),Digital Logic Design (BCS-2K),,
Thursday,F-312,International Relations (BCS-8A),,Software Engineering (BCS-6A),Software for Mobile Devices (BCS-6A),Parallel & Distributed Comp (BCS-6A),,
Thursday,C-1,Critical Thinking (BCS-4A),Principles of Leadership (BCS-4A),Applied Programming (MCS-1A),Ideology and Const of Pak & Seerat (BCS-2J),,,
Thursday,C-2,,Marketing Management (BCS-8A),Intro to Internet of Things (BSE-8A),Probability & Statistics (BCS-4K),,,
Thursday,C-3,Marketing Management (BCS-4A),Digital Logic Design (BCS-2E),Design & Analysis of Algo (BSE-6A),Probability & Statistics (BCS-4A),Probability & Statistics (BCS-4B),Probability & Statistics (BSE-4B),
Thursday,C-4,Research Methodology (MDS-2A),,,Marketing Management (BCS-8B),,Programming Fundamentals (BCS-2A),
Thursday,C-5,Ideology and Const of Pak & Seerat (BCS-2F),,,Multivariable Calculus (BCS-2G),,Probability & Statistics (BCS-4J),
Thursday,C-6,Multivariable Calculus (BCS-2H),Multivariable Calculus (BCS-2C),,,,,
Thursday,C-7,Multivariable Calculus (BCS-2B),Civics and Community Eng (BCS-2D),,Multivariable Calculus (BSE-2A),Multivariable Calculus (BSE-2B),,
Thursday,C-13,International Business (BDS-6A),Expository Writing (BSE-2B),,,Psychology (BCS-4A),Foreign Policy of Pakistan (BCS-4A),
Thursday,C-14,Mass Communication (BCS-8A),Multivariable Calculus (BDS-2A),,Digital Logic Design (BDS-2B),Digital Logic Design (BDS-2A),Environmental Studies (BCS-8A),
Thursday,D-2,Multivariable Calculus (BDS-2B),Expository Writing (BSE-2A),,Civics and Community Eng (BCS-2A),,,
Thursday,D-5,,Environmental Studies (BSE-8A),,,,,
